Numéro;Matière (s) Active (s);Famille Chimique;Classe;Culture;indice GUS final;Coefficient d'adsorption (Koc);hydrolyse half-life (days);Solubilité (mg/L);"DT50 champ
(jours)";Hydrolyse à pH 7;"CL50 poisson
(mg.L-1)";CI50 daphnie (mg.L-1);CE50 algues (mg.L-1);CL50 min;DL50 Derm. Mg/kg;DL50 Oral Mg/kg;DJA mg/kg/jour;Classem  OMS;DAR (jour);Numéro Homologation;Nom Commercial;Formulation;Tableau Tox.;Teneur;Type de traitement;Dose PC
1;2,4-D;Aryloxyacide;Herbicide;Céréales;3,719;46,000;39,00;27600,0000;9,9;très stable;100;100;24,2;24,2;> 1600;375;0.3;II;-;E11-9-030;CALIDICOTE;SL;C;720 g/l;Parties aériennes;0,6 l/ha
2;2,4-DB;Aryloxyacide;Herbicide;Céréales;1,986;224,000;16,00;4385,0000;15,6;très stable;3,5;25;1,1;1,1;;370 - 700;0,02;III;-;E06-5-001;DIALEN >ER 464 SL;SL;C;(344 + 120)g/l;Désherbage;0,75 l/ha
3;2,4-D + MCPA;Aryloxyacide;Herbicide;Céréales;2,506;74,000;15,00;29390,0000;25,0;stable;50;190;32,9;32,9;> 1000;700;0,013;III;-;E11-8-069;HORMA;SL;C;(275 + 275)g/l;Désherbage;1 l/ha
4;Abamectine;Aryloxyacide;"Insecticide-
Acaricide";Fraisier, melon,  culture maraichères, agrume et plante aromatique;0,443;5638,000;;1,2100;7,0;stable;4,3;55;37;4,3;> 2000;10;0.0002;III;14 j;F11-0-053;ABAMEC;EC;A;18 g/l;Parties aériennes;50 cc/hl
5;Acequinocyl;;Acaricide;Nectarier et pommier;-0,300;100666,000;2,00;0,0070;;;;;;;> 2000;5000;;;-;E04-4-002;KANEMITE SC 15%;SC;C;15%;Parties aériennes;150 cc/hl
6;Ac Naphtylacétique;Biopesticide;Régulateur de croissance;;2,266;385,000;40,00;420,0000;10,0;;28;180;63,2;28;> 5000;1000 - 1500;;III;;;;;C;;;
7;Acéphate;Organophosphoré;Insecticide;Agrumes, arbres fruitiers, betterave et maraichage;1,140;40,300;3,00;790000,0000;3,0;stable;110;67,2;980;67,2;> 2000;945;0.003;III;15 j;;;;C;;;700g/l
8;Acetamipride;Néonicotinoide;Insecticide;Agrumes, pommier et tomate;0,400;106,500;1,60;2950,0000;2,9;très stable;100;49,8;98,3;49,8;> 2000;217;0,07;;-;D03-9-005;MOSPILAN 20 SL;SL;C;20%;Parties aériennes;2 cc/hl
9;Acétochlore;Chloroacetamide;Herbicide;Mais;2,071;156,000;14,00;282,0000;13,0;stable;0,36;8,4;0,00099;0,00099;4166;2148;0.01;III;;;;;;;;
10;Acide gibbérellique (GA3);;Régulateur de croissance;"Agrumes, vigne;, pomme de terre";3,438;10,000;14,00;40000,0000;;;;;;;;> 15000;;IV;NR;E01-4-006;ACCEL;SP;N;20%;Parties aériennes;1 g/hl
